Неделя,2021,2022,2023
1,0,0,0
2,184,189,155
3,351,350,313
4,513,504,466
5,691,680,626
6,884,836,792
7,1103,1033,946
8,1209,1184,1052
9,1397,1364,1224
10,1538,1471,1344
11,1750,1667,1502
12,1932,1849,1665
13,2155,2034,1827
14,2340,2186,1989
15,2516,2364,2151
16,2721,2558,2320
17,2926,2730,2472
18,2950,2835,2584
19,3094,2959,2708
20,3275,3125,2851
21,3480,3293,3027
22,3654,3466,3209
23,3801,3620,3359
24,3955,3783,3482
25,4110,3928,3695
26,4300,4069,3868
27,4469,4249,3891
28,4632,4424,
29,4789,4573,
30,4948,4739,
31,5128,4893,
32,5293,5015,
33,5454,5164,
34,5629,5319,
35,5757,5456,
36,5902,5594,
37,6055,5758,
38,6222,5913,
39,6370,6046,
40,6501,6196,
41,6653,6347,
42,6852,6501,
43,7013,6675,
44,7058,6788,
45,7239,6958,
46,7420,7125,
47,7602,7275,
48,7758,7441,
49,7920,7579,
50,8080,7724,
51,8209,7860,
52,8251,7923,
